node_i,node_j,feature_col,grid_seconds,te_i_to_j,p_value,p_value_block,significant_p05,p_value_fdr,significant_fdr,p_value_block_fdr,significant_block_fdr,p_bonferroni,significant_bonferroni,te_estimator,event_id,event_phase
curve_crvusd_usdt,usdt_kraken,basis_vs_usd,60,0.15967852279050487,0.0,1.0,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdt_curve_2023,all
curve_3pool,usdt_binance,basis_vs_usd,60,0.12845369155450237,0.0,0.105,true,0.0,true,0.27999999999999997,false,0.0,true,binned_discrete,usdt_curve_2023,all
curve_crvusd_usdt,usdt_binance,basis_vs_usd,60,0.12845369155450237,0.0,0.12,true,0.0,true,0.3054545454545454,false,0.0,true,binned_discrete,usdt_curve_2023,all
usdt_binance,usdt_kraken,basis_vs_usd,60,0.11939644328690202,0.0,0.665,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdt_curve_2023,all
usdt_binance,curve_3pool,basis_vs_usd,60,0.11936254124502532,0.0,0.71,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdt_curve_2023,all
usdt_binance,curve_crvusd_usdt,basis_vs_usd,60,0.11936254124502532,0.0,0.73,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdt_curve_2023,all
uniswap_usdc_usdt_005,usdt_binance,basis_vs_usd,60,0.11507223265909294,0.0,0.355,true,0.0,true,0.8643478260869565,false,0.0,true,binned_discrete,usdt_curve_2023,all
usdt_kraken,uniswap_usdc_usdt_005,basis_vs_usd,60,0.11185032102827852,0.0,1.0,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdt_curve_2023,all
usdt_binance,uniswap_usdc_usdt_005,basis_vs_usd,60,0.0988231769290635,0.0,0.94,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdt_curve_2023,all
usdt_kraken,usdt_binance,basis_vs_usd,60,0.08877432939671503,0.0,0.805,true,0.0,true,1.0,false,0.0,true,binned_discrete,usdt_curve_2023,all
curve_3pool,uniswap_usdc_usdt_005,basis_vs_usd,60,0.036100327699087664,0.995,1.0,false,1.0,false,1.0,false,1.0,false,binned_discrete,usdt_curve_2023,all
curve_crvusd_usdt,uniswap_usdc_usdt_005,basis_vs_usd,60,0.036100327699087664,1.0,1.0,false,1.0,false,1.0,false,1.0,false,binned_discrete,usdt_curve_2023,all
curve_3pool,curve_crvusd_usdt,basis_vs_usd,60,0.0,1.0,1.0,false,1.0,false,1.0,false,1.0,false,binned_discrete,usdt_curve_2023,all
curve_crvusd_usdt,curve_3pool,basis_vs_usd,60,0.0,1.0,1.0,false,1.0,false,1.0,false,1.0,false,binned_discrete,usdt_curve_2023,all
usdt_binance,eth_usdc_exchange_flows,basis_vs_usd,60,0.8774785097214607,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,ftx_2022,all
eth_usdc_exchange_flows,usdt_binance,basis_vs_usd,60,0.8685348126556105,0.005,1.0,true,0.008333333333333333,true,1.0,false,0.15,false,binned_discrete,ftx_2022,all
usdt_binance,eth_usdt_exchange_flows,basis_vs_usd,60,0.8608730900086761,0.0,0.0,true,0.0,true,0.0,true,0.0,true,binned_discrete,ftx_2022,all
eth_bridge_flows,usdt_binance,basis_vs_usd,60,0.8566537917750783,0.02,0.47,true,0.03,true,0.7725000000000001,false,0.6,false,binned_discrete,ftx_2022,all
eth_usdt_exchange_flows,usdt_binance,basis_vs_usd,60,0.8300245720676711,0.045,1.0,true,0.061363636363636356,false,1.0,false,1.0,false,binned_discrete,ftx_2022,all
