h,abs_flow,abs_basis,rolling_arb_r,phase
-147,0.0,5e-05,0.4103,pre
-143,101295.872009,5e-05,,pre
-142,0.0,5e-05,-0.3461,pre
-140,767.019106,5e-05,-0.283,pre
-139,49265.203615,5e-05,-0.2936,pre
-138,3200.0,5e-05,-0.3021,pre
-137,5919760.89319,5e-05,-0.2063,pre
-136,115706.979977,5e-05,-0.2069,pre
-135,326572.154331,5e-05,,pre
-134,9328216.240646,5e-05,,pre
-132,349923.721382,5e-05,,pre
-131,33092.248251,5e-05,,pre
-128,63814.091289,5e-05,0.2148,pre
-127,117700.0,5e-05,0.3342,pre
-126,99977.912883,5e-05,0.4584,pre
-125,43369.983404,5e-05,0.4819,pre
-124,3222635.265009,9.2e-05,0.9997,pre
-123,999777.791644,0.00015,0.4977,pre
-122,984905.519281,0.00015,0.384,pre
-121,0.0,0.00015,0.0983,pre
-120,1082953.917029,0.00015,-0.0933,pre
-119,452949.728978,5.6e-05,-0.2538,pre
-114,0.0,0.00015,0.1295,pre
-113,510352.138361,0.00015,0.0551,pre
-112,40964.993305,0.00015,-0.1204,pre
-111,0.0,0.00015,-0.1204,pre
-109,5998561.434572,0.000189,0.4848,pre
-108,4862576.527844,0.00015,0.7262,pre
-106,30051.584863,7.2e-05,0.5801,pre
-105,2921.339535,0.00015,0.562,pre
-104,2431414.38959,0.00015,0.6205,pre
-102,724497.629781,0.00015,0.6554,pre
-101,0.0,0.00015,0.3273,pre
-100,20000.0,0.00015,0.2545,pre
-99,931.131952,0.00015,,pre
-98,0.0,0.000149,0.266,pre
-97,0.0,0.00015,0.2069,pre
-96,452978.241724,0.00015,0.211,pre
-95,157000.0,0.00015,0.2845,pre
-94,50439.959191,0.00015,0.3023,pre
-93,409.697617,0.00015,0.302,pre
-92,9999.823903,0.00015,,pre
-90,170800.0,0.00015,,pre
-89,1701699.467072,0.00015,,pre
-88,46398.884013,0.00015,,pre
-87,17757.791122,0.00015,,pre
-86,211765.813803,0.00015,,pre
-85,99974.411067,0.00015,,pre
-84,0.0,0.00015,,pre
-82,9996.720382,0.00015,,pre
-80,5859087.231083,0.00015,,pre
-78,135275.0056,0.00015,,pre
-77,392531.687408,0.00015,,pre
-76,0.0,0.00015,,pre
-75,48954.041062,0.00015,,pre
-73,150780.0,0.00015,,pre
-72,0.0,0.00015,,pre
-71,85615.8,0.00015,,pre
-70,2353.920334,0.00015,,pre
-69,52407.3325,0.00015,,pre
-68,360143.563135,0.00015,,pre
-67,22864.671143,0.00015,,pre
-66,387369.342433,0.00015,,pre
-65,55381.3,0.00015,,pre
-64,169783.587627,0.00015,,pre
-63,513682.952815,0.00015,,pre
-62,159800.0,0.00015,,pre
-61,1300.0,0.000149,0.5288,pre
-59,28742.691284,0.00015,0.3981,pre
-57,115686.195979,0.00015,0.4352,pre
-56,353546.615561,0.00015,0.4763,pre
-55,10686628.299771,0.00015,0.2147,pre
-54,209055.622481,0.00015,0.2159,pre
-53,495839.355988,0.00015,,pre
-52,660802.030481,0.00015,,pre
-51,1424.773855,0.00015,,pre
-49,11269.558703,0.00015,,pre
-48,0.0,0.00015,,pre
-47,63621.5374,0.00015,,pre
-46,463808.845769,0.00015,,pre
-45,177358.977587,0.00015,,pre
-44,52166.693532,0.00015,,pre
-43,14996.31899,0.00015,,pre
-42,157678.860725,0.00015,,pre
-40,19984.295061,0.00015,,pre
-39,201526.57231,0.00015,,pre
-38,242110.217223,0.00015,,pre
-37,21739.585358,0.00015,,pre
-36,91324.150649,0.00015,,pre
-35,481461.523115,0.00015,,pre
-34,1520003.625715,0.00015,,pre
-33,0.0,0.000207,-0.3316,pre
-32,21246697.469923,0.00025,0.8283,pre
-31,583756.051608,0.00025,0.5513,pre
-30,416076.683508,0.00025,0.377,pre
-29,7024275.194885,0.00025,0.3396,pre
-28,1899060.245349,0.00025,0.3073,pre
-27,1009482.481251,0.00025,,pre
-25,59020.904317,0.00025,,pre
-24,20890.76561,0.00032,-0.3135,pre
-23,226228.589469,0.000347,-0.4399,pre
-22,1389241.328088,0.000348,-0.2254,pre
-21,54555.489446,0.000348,-0.014,pre
-20,210768.81064,0.000347,0.3392,pre
-17,598439.396886,0.00035,0.3937,pre
